case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,low_near,t1,q850_trace,precip_zwd,q850,41.97747747747748,89.24892185705099,1.2194820556032937e-05,1.0,850,5.947778504728484e-05,0.007286028668292393,0.9999906744416827,0.9965391603267291,0.003451546302549891,15.634991645812988,15.643678665161133,15.614300727844238,0.008687019348144531,-0.02069091796875,0.014688968658447266,-0.006001949310302734,0.014688968658447266,True
great_plains_2020-06-27T12:00:00,great_plains,local,hotspot,t1,q850_trace,precip_zwd,q850,38.97747747747748,262.0189286960998,0.00015982080367393792,1.0,850,0.0,0.0,1.0006750635812753,1.0006750635812753,0.0,12.18130111694336,13.530381202697754,10.889481544494629,1.3490800857543945,-1.2918195724487305,1.3204498291015625,0.02863025665283203,1.3204498291015625,True
great_plains_2020-06-27T12:00:00,great_plains,local,low_near,t1,q850_trace,precip_zwd,q850,51.47747747747748,264.5189286960998,4.923642336507328e-06,1.0,850,0.0,0.0,1.0005407229821186,1.0005407229821186,0.0,12.18130111694336,12.180253028869629,12.18315315246582,-0.0010480880737304688,0.0018520355224609375,-0.0014500617980957031,0.0004019737243652344,0.0014500617980957031,True
great_plains_2020-06-27T12:00:00,great_plains,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,36.47747747747748,264.5189286960998,0.0003045427438337356,1.0,850,0.0,0.0,1.000121249392843,1.000121249392843,0.0,12.18130111694336,13.563420295715332,10.897255897521973,1.3821191787719727,-1.2840452194213867,1.3330821990966797,0.04903697967529297,1.3330821990966797,True
great_plains_2020-06-27T12:00:00,great_plains,synoptic,low_near,t1,q850_trace,precip_zwd,q850,56.47747747747748,264.5189286960998,2.6525876819505356e-05,1.0,850,0.0,0.007884972170686457,1.000083204966758,0.9935242252867679,0.006558433985708361,12.18130111694336,12.18636417388916,12.16567325592041,0.005063056945800781,-0.01562786102294922,0.010345458984375,-0.005282402038574219,0.010345458984375,True
himalayas_2020-09-23T06:00:00,himalayas,local,hotspot,t1,q850_trace,precip_zwd,q850,28.22747747747748,84.4321042943339,0.00011218470172025263,1.0,850,0.0,0.0,0.999999917960646,1.0,8.203935394993237e-08,11.551041603088379,12.158931732177734,10.590734481811523,0.6078901290893555,-0.9603071212768555,0.7840986251831055,-0.17620849609375,0.7840986251831055,True
himalayas_2020-09-23T06:00:00,himalayas,local,low_near,t1,q850_trace,precip_zwd,q850,38.22747747747748,69.4321042943339,1.9300625808682526e-06,1.0,850,0.0,0.028411147303655446,1.0,0.9807417955540367,0.01925820444596327,11.551041603088379,11.553936004638672,11.551169395446777,0.0028944015502929688,0.0001277923583984375,0.0013833045959472656,0.0015110969543457031,0.0015110969543457031,False
himalayas_2020-09-23T06:00:00,himalayas,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,30.72747747747748,84.4321042943339,0.00017673235561233014,1.0,850,0.0,0.018221824932957438,0.9999998888329471,0.9760280478921004,0.023971843605725993,11.551041603088379,12.23170280456543,10.562817573547363,0.6806612014770508,-0.9882240295410156,0.8344426155090332,-0.15378141403198242,0.8344426155090332,True
himalayas_2020-09-23T06:00:00,himalayas,synoptic,low_near,t1,q850_trace,precip_zwd,q850,45.72747747747748,89.4321042943339,1.474230066378368e-05,1.0,850,0.0,0.01183762354123625,1.0,0.9928804097700451,0.007119590229954892,11.551041603088379,11.565269470214844,11.539735794067383,0.014227867126464844,-0.011305809020996094,0.012766838073730469,0.001461029052734375,0.012766838073730469,True
japan_2020-10-10T00:00:00,japan,local,hotspot,t1,q850_trace,precip_zwd,q850,35.47747747747748,138.58497947810284,0.00010302375449100509,1.0,850,0.0,0.0031871016122984627,1.0,0.999316355763729,0.0006836442362709664,10.046470642089844,10.928167343139648,9.421032905578613,0.8816967010498047,-0.6254377365112305,0.7535672187805176,0.1281294822692871,0.7535672187805176,True
japan_2020-10-10T00:00:00,japan,local,low_near,t1,q850_trace,precip_zwd,q850,22.97747747747748,126.08497947810284,1.1451935506556765e-06,1.0,850,0.0,0.0,1.0,0.999999914275099,8.57249009063008e-08,10.046470642089844,10.043907165527344,10.047049522399902,-0.0025634765625,0.0005788803100585938,-0.0015711784362792969,-0.0009922981262207031,0.0015711784362792969,True
japan_2020-10-10T00:00:00,japan,synoptic,hotspot,t1,q850_trace,precip_zwd,q850,32.97747747747748,141.08497947810284,0.0001805153879104182,1.0,850,0.0,0.01583626908236873,1.0,0.9895491090331485,0.010450890966851431,10.046470642089844,10.928792953491211,9.217387199401855,0.8823223114013672,-0.8290834426879883,0.8557028770446777,0.026619434356689453,0.8557028770446777,True
japan_2020-10-10T00:00:00,japan,synoptic,low_near,t1,q850_trace,precip_zwd,q850,52.97747747747748,141.08497947810284,1.2401071217027493e-05,1.0,850,0.0,0.11129036141677301,0.9999999221308428,0.8092508558793744,0.19074908110493852,10.046470642089844,10.06765365600586,10.031725883483887,0.021183013916015625,-0.014744758605957031,0.017963886260986328,0.003219127655029297,0.017963886260986328,True
netherlands_2020-12-27T12:00:00,netherlands,local,hotspot,t1,q850_trace,precip_zwd,q850,52.47747747747748,3.502710997644563,5.496609446709044e-05,1.0,850,0.0,0.03409090909090909,1.0,0.9577547924148907,0.04224520758510926,3.5321898460388184,4.046721458435059,2.6532623767852783,0.5145316123962402,-0.87892746925354,0.6967295408248901,-0.1821979284286499,0.6967295408248901,True
