case_id,target,scale,region_kind,perturb_timestep,mode,model,target_var,mask_center_lat,mask_center_lon,pooled_saliency,dose_mm,actual_target_score,plus_target_score,minus_target_score,plus_target_delta,minus_target_delta,signed_target_response,common_target_response,mean_abs_target_delta,output_opposite_sign,magnitude,perturb_level_hpa,plus_clip_frac,minus_clip_frac,plus_realized_frac,minus_realized_frac,pair_asymmetry
caucasus_2020-08-22T12:00:00,caucasus,local,hotspot,t1,q850_trace,precip_only,q850,42.22747747747748,43.57312758741756,8.379690552828833e-05,,7.84367036819458,9.040520668029785,6.555232048034668,1.196850299835205,-1.288438320159912,1.2426443099975586,-0.045794010162353516,1.2426443099975586,True,1.0,850,0.0,0.0,0.9999999310517531,0.9999999310517531,0.0
caucasus_2020-08-22T12:00:00,caucasus,local,low_near,t1,precip_trace,precip_only,q850,57.22747747747748,53.57312758741756,8.667876727486146e-07,2.11,7.84367036819458,7.843423843383789,7.843886375427246,-0.0002465248107910156,0.00021600723266601562,-0.00023126602172851562,-1.52587890625e-05,0.00023126602172851562,True,,,,,,,
caucasus_2020-08-22T12:00:00,caucasus,local,low_near,t1,q850_trace,precip_only,q850,57.22747747747748,53.57312758741756,8.667876727486146e-07,,7.84367036819458,7.836066246032715,7.846167087554932,-0.007604122161865234,0.0024967193603515625,-0.0050504207611083984,-0.002553701400756836,0.0050504207611083984,True,1.0,850,0.0,0.0,1.0,1.0,0.0
caucasus_2020-08-22T12:00:00,caucasus,synoptic,hotspot,t1,precip_trace,precip_only,q850,44.72747747747748,43.57312758741756,0.00013724413292948157,2.11,7.84367036819458,7.843080043792725,7.844200134277344,-0.0005903244018554688,0.0005297660827636719,-0.0005600452423095703,-3.0279159545898438e-05,0.0005600452423095703,True,,,,,,,
caucasus_2020-08-22T12:00:00,caucasus,synoptic,hotspot,t1,q850_trace,precip_only,q850,44.72747747747748,43.57312758741756,0.00013724413292948157,,7.84367036819458,9.180255889892578,6.451392650604248,1.336585521697998,-1.392277717590332,1.364431619644165,-0.027846097946166992,1.364431619644165,True,1.0,850,0.0,0.0004262090128999261,0.9999999081208744,0.9998775251254954,0.00012238300662338302
caucasus_2020-08-22T12:00:00,caucasus,synoptic,low_near,t1,precip_trace,precip_only,q850,59.72747747747748,48.57312758741756,8.51015738589922e-06,2.11,7.84367036819458,7.842881679534912,7.84354829788208,-0.0007886886596679688,-0.0001220703125,-0.0003333091735839844,-0.0004553794860839844,0.0004553794860839844,False,,,,,,,
caucasus_2020-08-22T12:00:00,caucasus,synoptic,low_near,t1,q850_trace,precip_only,q850,59.72747747747748,48.57312758741756,8.51015738589922e-06,,7.84367036819458,7.8629608154296875,7.812952518463135,0.019290447235107422,-0.030717849731445312,0.025004148483276367,-0.005713701248168945,0.025004148483276367,True,1.0,850,0.0,0.0015120662889861092,1.0,0.9994103898129129,0.0005896101870871458
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,hotspot,t1,precip_trace,precip_only,q850,24.47747747747748,89.24892185705099,8.608861389802769e-05,2.11,15.741825103759766,15.764204978942871,15.742631912231445,0.02237987518310547,0.0008068084716796875,0.01078653335571289,0.011593341827392578,0.011593341827392578,False,,,,,,,
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,hotspot,t1,q850_trace,precip_only,q850,24.47747747747748,89.24892185705099,8.608861389802769e-05,,15.741825103759766,17.485074996948242,13.954785346984863,1.7432498931884766,-1.7870397567749023,1.7651448249816895,-0.02189493179321289,1.7651448249816895,True,1.0,850,0.010495382031905962,0.0,0.9930271745366491,1.0000000847440536,0.006972909616491666
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,low_near,t1,precip_trace,precip_only,q850,36.97747747747748,79.24892185705099,1.4308703839560621e-06,2.11,15.741825103759766,15.742557525634766,15.742722511291504,0.000732421875,0.0008974075317382812,-8.249282836914062e-05,0.0008149147033691406,0.0008149147033691406,False,,,,,,,
ganges_plain_2020-07-19T12:00:00,ganges_plain,local,low_near,t1,q850_trace,precip_only,q850,36.97747747747748,79.24892185705099,1.4308703839560621e-06,,15.741825103759766,15.735505104064941,15.742915153503418,-0.006319999694824219,0.0010900497436523438,-0.0037050247192382812,-0.0026149749755859375,0.0037050247192382812,True,1.0,850,0.0,0.0,1.0,0.9999999256149468,7.438505318642881e-08
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,hotspot,t1,precip_trace,precip_only,q850,21.97747747747748,89.24892185705099,0.00015920671285130084,2.11,15.741825103759766,15.765510559082031,15.73996639251709,0.023685455322265625,-0.0018587112426757812,0.012772083282470703,0.010913372039794922,0.012772083282470703,True,,,,,,,
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,hotspot,t1,q850_trace,precip_only,q850,21.97747747747748,89.24892185705099,0.00015920671285130084,,15.741825103759766,17.875019073486328,13.586742401123047,2.1331939697265625,-2.1550827026367188,2.1441383361816406,-0.010944366455078125,2.1441383361816406,True,1.0,850,0.003003782540977527,0.0,0.9983519268484577,0.9999999400373604,0.0016480132877217492
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,low_near,t1,precip_trace,precip_only,q850,41.97747747747748,89.24892185705099,1.2194820556032937e-05,2.11,15.741825103759766,15.740368843078613,15.743322372436523,-0.0014562606811523438,0.0014972686767578125,-0.0014767646789550781,2.0503997802734375e-05,0.0014767646789550781,True,,,,,,,
ganges_plain_2020-07-19T12:00:00,ganges_plain,synoptic,low_near,t1,q850_trace,precip_only,q850,41.97747747747748,89.24892185705099,1.2194820556032937e-05,,15.741825103759766,15.753546714782715,15.724267959594727,0.011721611022949219,-0.017557144165039062,0.01463937759399414,-0.002917766571044922,0.01463937759399414,True,1.0,850,5.947778504728484e-05,0.007286028668292393,0.9999906744416827,0.9965391603267291,0.003451546302549891
great_plains_2020-06-27T12:00:00,great_plains,local,hotspot,t1,precip_trace,precip_only,q850,38.97747747747748,262.0189286960998,0.00015982080367393792,2.11,12.272308349609375,12.307465553283691,12.271215438842773,0.035157203674316406,-0.0010929107666015625,0.018125057220458984,0.017032146453857422,0.018125057220458984,True,,,,,,,
great_plains_2020-06-27T12:00:00,great_plains,local,hotspot,t1,q850_trace,precip_only,q850,38.97747747747748,262.0189286960998,0.00015982080367393792,,12.272308349609375,13.574812889099121,11.021284103393555,1.302504539489746,-1.2510242462158203,1.2767643928527832,0.02574014663696289,1.2767643928527832,True,1.0,850,0.0,0.0,1.0006750635812753,1.0006750635812753,0.0
great_plains_2020-06-27T12:00:00,great_plains,local,low_near,t1,precip_trace,precip_only,q850,51.47747747747748,264.5189286960998,4.923642336507328e-06,2.11,12.272308349609375,12.272756576538086,12.271062850952148,0.0004482269287109375,-0.0012454986572265625,0.00084686279296875,-0.0003986358642578125,0.00084686279296875,True,,,,,,,
great_plains_2020-06-27T12:00:00,great_plains,local,low_near,t1,q850_trace,precip_only,q850,51.47747747747748,264.5189286960998,4.923642336507328e-06,,12.272308349609375,12.272943496704102,12.277350425720215,0.0006351470947265625,0.005042076110839844,-0.0022034645080566406,0.002838611602783203,0.002838611602783203,False,1.0,850,0.0,0.0,1.0005407229821186,1.0005407229821186,0.0
great_plains_2020-06-27T12:00:00,great_plains,synoptic,hotspot,t1,precip_trace,precip_only,q850,36.47747747747748,264.5189286960998,0.0003045427438337356,2.11,12.272308349609375,12.310132026672363,12.271286964416504,0.03782367706298828,-0.0010213851928710938,0.019422531127929688,0.018401145935058594,0.019422531127929688,True,,,,,,,
great_plains_2020-06-27T12:00:00,great_plains,synoptic,hotspot,t1,q850_trace,precip_only,q850,36.47747747747748,264.5189286960998,0.0003045427438337356,,12.272308349609375,13.591890335083008,11.031387329101562,1.3195819854736328,-1.2409210205078125,1.2802515029907227,0.039330482482910156,1.2802515029907227,True,1.0,850,0.0,0.0,1.000121249392843,1.000121249392843,0.0
great_plains_2020-06-27T12:00:00,great_plains,synoptic,low_near,t1,precip_trace,precip_only,q850,56.47747747747748,264.5189286960998,2.6525876819505356e-05,2.11,12.272308349609375,12.272361755371094,12.268991470336914,5.340576171875e-05,-0.0033168792724609375,0.0016851425170898438,-0.0016317367553710938,0.0016851425170898438,True,,,,,,,
great_plains_2020-06-27T12:00:00,great_plains,synoptic,low_near,t1,q850_trace,precip_only,q850,56.47747747747748,264.5189286960998,2.6525876819505356e-05,,12.272308349609375,12.274270057678223,12.263277053833008,0.0019617080688476562,-0.009031295776367188,0.005496501922607422,-0.0035347938537597656,0.005496501922607422,True,1.0,850,0.0,0.007884972170686457,1.000083204966758,0.9935242252867679,0.006558433985708361
himalayas_2020-09-23T06:00:00,himalayas,local,hotspot,t1,precip_trace,precip_only,q850,28.22747747747748,84.4321042943339,0.00011218470172025263,2.11,11.470555305480957,11.454048156738281,11.473589897155762,-0.01650714874267578,0.0030345916748046875,-0.009770870208740234,-0.006736278533935547,0.009770870208740234,True,,,,,,,
himalayas_2020-09-23T06:00:00,himalayas,local,hotspot,t1,q850_trace,precip_only,q850,28.22747747747748,84.4321042943339,0.00011218470172025263,,11.470555305480957,11.989737510681152,10.469621658325195,0.5191822052001953,-1.0009336471557617,0.7600579261779785,-0.2408757209777832,0.7600579261779785,True,1.0,850,0.0,0.0,0.999999917960646,1.0,8.203935394993237e-08
himalayas_2020-09-23T06:00:00,himalayas,local,low_near,t1,precip_trace,precip_only,q850,38.22747747747748,69.4321042943339,1.9300625808682526e-06,2.11,11.470555305480957,11.472490310668945,11.470580101013184,0.0019350051879882812,2.47955322265625e-05,0.0009551048278808594,0.0009799003601074219,0.0009799003601074219,False,,,,,,,
himalayas_2020-09-23T06:00:00,himalayas,local,low_near,t1,q850_trace,precip_only,q850,38.22747747747748,69.4321042943339,1.9300625808682526e-06,,11.470555305480957,11.469897270202637,11.472355842590332,-0.0006580352783203125,0.001800537109375,-0.0012292861938476562,0.0005712509155273438,0.0012292861938476562,True,1.0,850,0.0,0.028411147303655446,1.0,0.9807417955540367,0.01925820444596327
himalayas_2020-09-23T06:00:00,himalayas,synoptic,hotspot,t1,precip_trace,precip_only,q850,30.72747747747748,84.4321042943339,0.00017673235561233014,2.11,11.470555305480957,11.447488784790039,11.472380638122559,-0.02306652069091797,0.0018253326416015625,-0.012445926666259766,-0.010620594024658203,0.012445926666259766,True,,,,,,,
himalayas_2020-09-23T06:00:00,himalayas,synoptic,hotspot,t1,q850_trace,precip_only,q850,30.72747747747748,84.4321042943339,0.00017673235561233014,,11.470555305480957,12.066512107849121,10.463057518005371,0.5959568023681641,-1.007497787475586,0.801727294921875,-0.20577049255371094,0.801727294921875,True,1.0,850,0.0,0.018221824932957438,0.9999998888329471,0.9760280478921004,0.023971843605725993
himalayas_2020-09-23T06:00:00,himalayas,synoptic,low_near,t1,precip_trace,precip_only,q850,45.72747747747748,89.4321042943339,1.474230066378368e-05,2.11,11.470555305480957,11.472299575805664,11.472887992858887,0.0017442703247070312,0.0023326873779296875,-0.0002942085266113281,0.0020384788513183594,0.0020384788513183594,False,,,,,,,
himalayas_2020-09-23T06:00:00,himalayas,synoptic,low_near,t1,q850_trace,precip_only,q850,45.72747747747748,89.4321042943339,1.474230066378368e-05,,11.470555305480957,11.48424243927002,11.461420059204102,0.0136871337890625,-0.009135246276855469,0.011411190032958984,0.0022759437561035156,0.011411190032958984,True,1.0,850,0.0,0.01183762354123625,1.0,0.9928804097700451,0.007119590229954892
japan_2020-10-10T00:00:00,japan,local,hotspot,t1,precip_trace,precip_only,q850,35.47747747747748,138.58497947810284,0.00010302375449100509,2.11,9.92697811126709,9.933860778808594,9.931899070739746,0.006882667541503906,0.00492095947265625,0.0009808540344238281,0.005901813507080078,0.005901813507080078,False,,,,,,,
japan_2020-10-10T00:00:00,japan,local,hotspot,t1,q850_trace,precip_only,q850,35.47747747747748,138.58497947810284,0.00010302375449100509,,9.92697811126709,10.845170021057129,9.203019142150879,0.9181919097900391,-0.7239589691162109,0.821075439453125,0.09711647033691406,0.821075439453125,True,1.0,850,0.0,0.0031871016122984627,1.0,0.999316355763729,0.0006836442362709664
